0;1;0.8;0
1;1;35;0.1209
2;1;19;0.12542
3;1;17;0.13836
4;1;26;0.14116
5;1;24;0.1548
6;1;30;0.15754
7;1;27;0.17022
8;1;19;0.1745
9;1;25;0.18694
10;1;29;0.19002
11;1;30;0.20202
12;1;27;0.20706
13;1;28;0.21864
14;1;34;0.22228
15;1;32;0.23444
16;1;35;0.23888
17;1;43;0.24966
18;1;41;0.25532
19;1;44;0.26538
20;1;49;0.27104
21;1;54;0.28084
22;1;43;0.28784
23;1;45;0.29794
24;1;59;0.3029
25;1;54;0.31334
26;1;31;0.32202
27;1;37;0.33116
28;1;47;0.33668
29;1;45;0.3467
30;1;39;0.35404
31;1;40;0.36352
32;1;36;0.37102
33;1;35;0.38004
34;1;45;0.386
35;1;47;0.39514
36;1;38;0.40336
37;1;35;0.4126
38;1;44;0.41892
39;1;40;0.42824
40;1;39;0.4358
41;1;33;0.4452
42;1;27;0.45366
43;1;28;0.46182
44;1;37;0.46894
45;1;37;0.47714
46;1;32;0.48604
47;1;18;0.495
48;1;24;0.50278
49;1;33;0.51008
50;1;39;0.51796
51;1;33;0.5268
52;1;28;0.5356
53;1;28;0.54338
54;1;40;0.55072
55;1;44;0.55852
56;1;34;0.5676
57;1;28;0.57632
58;1;36;0.58342
59;1;54;0.58998
60;1;50;0.59882
61;1;43;0.60788
62;1;40;0.61604
63;1;61;0.62238
64;1;66;0.62988
65;1;33;0.64112
66;1;31;0.64988
67;1;43;0.65656
68;1;47;0.66476
69;1;41;0.67334
70;1;39;0.68176
71;1;35;0.6903
72;1;33;0.69886
73;1;32;0.7071
74;1;32;0.7206
75;1;36;0.7231
76;1;30;0.73688
77;1;28;0.74042
78;1;34;0.75266
79;1;35;0.75588
80;1;26;0.76954
81;1;33;0.77248
82;1;37;0.78454
83;1;27;0.78936
84;1;9;0.80108
85;1;7;0.80108
86;1;6;0.80108
87;1;13;0.80108
88;1;13;0.80108
89;1;6;0.80108
90;1;7;0.80108
91;1;7;0.80108
92;1;6;0.80108
93;1;6;0.80108
94;1;6;0.80108
95;1;6;0.80108
96;1;7;0.80108
97;1;6;0.80108
98;1;6;0.80108
99;1;6;0.80108
0;1;0;0
1;1;2;0.80108
2;1;-26;0.79338
3;1;-24;0.78768
4;1;-21;0.77702
5;1;-45;0.77312
6;1;-44;0.7628
7;1;-25;0.75424
8;1;-14;0.74402
9;1;-37;0.7396
10;1;-39;0.73008
11;1;-34;0.7226
12;1;-30;0.71266
13;1;-20;0.70506
14;1;-28;0.69638
15;1;-47;0.6913
16;1;-45;0.68176
17;1;-34;0.67342
18;1;-33;0.6643
19;1;-49;0.65918
20;1;-66;0.6517
21;1;-63;0.64344
22;1;-52;0.63366
23;1;-53;0.62628
24;1;-71;0.61962
25;1;-70;0.61108
26;1;-45;0.60032
27;1;-43;0.5924
28;1;-70;0.5865
29;1;-69;0.57824
30;1;-52;0.56846
31;1;-38;0.55886
32;1;-45;0.55158
33;1;-53;0.54398
34;1;-49;0.53514
35;1;-35;0.52568
36;1;-34;0.51724
37;1;-30;0.5088
38;1;-29;0.5005
39;1;-39;0.49326
40;1;-45;0.48558
41;1;-36;0.47658
42;1;-28;0.4671
43;1;-21;0.45892
44;1;-41;0.45268
45;1;-54;0.44548
46;1;-42;0.43602
47;1;-32;0.42652
48;1;-28;0.4181
49;1;-42;0.41152
50;1;-54;0.40452
51;1;-37;0.39454
52;1;-21;0.38488
53;1;-21;0.37672
54;1;-40;0.3701
55;1;-21;0.35482
56;1;-45;0.35408
57;1;-47;0.34192
58;1;-21;0.3357
59;1;-30;0.32328
60;1;-56;0.32258
61;1;-46;0.30902
62;1;-35;0.30396
63;1;-51;0.29274
64;1;-66;0.29094
65;1;-52;0.27718
66;1;-34;0.27102
67;1;-51;0.26046
68;1;-46;0.25612
69;1;-26;0.24202
70;1;-43;0.239
71;1;-39;0.22696
72;1;-29;0.22154
73;1;-28;0.20964
74;1;-32;0.20562
75;1;-26;0.19326
76;1;-30;0.1887
77;1;-34;0.17774
78;1;-21;0.17128
79;1;-23;0.16
80;1;-30;0.15614
81;1;-28;0.145
82;1;-23;0.13882
83;1;-25;0.1284
84;1;-19;0.12234
85;1;-16;0.11142
86;1;-36;0.10758
87;1;-37;0.09716
88;1;-13;0.08884
89;1;-13;0.0788
90;1;-30;0.07422
91;1;-33;0.06466
92;1;-28;0.05722
93;1;-22;0.04726
94;1;-21;0.04062
95;1;-28;0.03166
96;1;-31;0.025
97;1;-36;0.01622
98;1;-40;0.00958
99;1;-48;0.00336
